Clave|Revista|Color|Tipo de licencia|Acceso|Autoarchivo|Versiones de autoarchivo
223|Revista Arbitrada Venezolana del Núcleo Costa Oriental del Lago Impacto Científico|Blanca|Ninguna|Gratuito|No|Desconocido
225|Tópicos, Revista de Filosofía |Azul|Atribución-Compartir Igual - CC BY-SA|Gratuito|Sí|Desconocido
226|Revista Brasileira de Orientação Profissional (RBOP)|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
227|Perseitas|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
228|Revista Tempo e Argumento|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
229|Brazilian Journal of Otorhinolaryngology|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
230|Revista Gestão e Sociedade - GeS|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
231|Revista Facultad Nacional de Agronomía Medellín|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
232|Revista Arbitrada Interdisciplinaria Koinonía|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
233|Sinéctica, revista electrónica de educación|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
234|Todas as Letras - Revista de Língua e Literatura|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
235|Ensino de Ciências e Tecnologia em Revista|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
236|Estudios del Desarrollo Social: Cuba y América Latina|Verde|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Pre-print (versión sin evaluar ), Post-print (versión corregida del autor)
237|Nóesis. Revista de Ciencias Sociales y Humanidades|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
238|CES Psicología|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
239|Estudios Gerenciales|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
240|Revista MVZ Córdoba|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial), Post-print (versión corregida del autor)
241|Encuentros. Revista de Ciencias Humanas, Teoría Social y Pensamiento Crítico|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
242|Griot : Revista de Filosofia|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
243|Paakat: Revista de Tecnología y Sociedad|Blanca|Ninguna|Gratuito|No|Desconocido
244|Revista Vianna Sapiens |Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión corregida del autor)
245|Revista Mexicana de Ingeniería Biomédica|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
246|Utopia y Praxis Latinoamericana|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
247|Zona Próxima|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
248|CienciaUAT|Azul|Atribución-Compartir Igual - CC BY-SA|Gratuito|Sí|Desconocido
249|Revista Educação em Questão|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión corregida del autor)
251|Revisa de la Asociación Latinoamericana de Control de Calidad, Patología y Recuperación de la Construcción|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
252|Revista de Arquitectura|Verde|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Pre-print (versión sin evaluar ), Post-print (versión editorial), Post-print (versión corregida del autor)
253|Revista Colombiana de Cirugía|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
254|Revista de Economía del Rosario|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
255|CPU-e, Revista de Investigación Educativa|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
256|Sociologias|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
257|Revista Integración, temas de matemáticas|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
258|Anclajes|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión corregida del autor)
259|Estudios Sociológicos|Verde|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Pre-print (versión sin evaluar ), Post-print (versión editorial), Post-print (versión corregida del autor)
260|Análisis Económico|Blanca|Ninguna|Gratuito|No|Desconocido
261|Quinto Sol. Revista de Historia|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
262|Estudos de Literatura Brasileira Contemporânea|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
263|Periferia|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
264|Sociológica (México)|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
265|Revista Latinoamericana de Ciencias Sociales, Niñez y Juventud|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial), Post-print (versión corregida del autor)
266|REVISTA ESTOMATOLOGIA|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión corregida del autor)
267|Barataria. Revista Castellano-Manchega de Ciencias Sociales|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
268|Revista Lingüistica y literatura|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
269|Em Questão|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial), Post-print (versión corregida del autor)
270|Revista Interuniversitaria de Formación del Profesorado|Azul|Ninguna|Gratuito online - suscripción versión impresa|Sí|Post-print (versión editorial)
271|Estudios de Economía|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito online - suscripción versión impresa|Sí|Post-print (versión editorial)
272| SMAD. Revista Eletrônica Saúde Mental Álcool e Drogas |Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
273|Boletín de la Sociedad Geológica MExicana|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
274|Revista Mad: Revista del Magíster en Análisis Sistémico aplicado a la Sociedad|Verde|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Pre-print (versión sin evaluar ), Post-print (versión editorial), Post-print (versión corregida del autor)
275|Revista Internacional de Medicina y Ciencias de la Actividad Física y el Deporte|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
276|POSTData. Revista de Reflexión y Análisis Político|Blanca|Ninguna|Gratuito|No|Desconocido
277|Ilha do Desterro|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
278|Estudos de lingüística galega|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
279|Nueva Antropología|Azul|Ninguna|Gratuito|Sí|Desconocido
280|RIED. Revista Iberoamericana de Educación a Distancia|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
281|Urbe. Revista Brasileira de Gestão Urbana|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
282|Secuencia. Revista de historia y ciencias sociales|Azul|Atribución-No Comercial - CC BY-NC|Gratuito online - suscripción versión impresa|Sí|Desconocido
283|Revista Escuela de Administración de Negocios|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Versión final publicada
284|Revista Latinoamericana de Psicología|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
285|Acta Medica Colombiana|Blanca|Ninguna|Gratuito|No|Desconocido
286|Revista Fronteras de la Historia|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
287|RED Revista de Educación a Distancia|Verde|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Pre-print (versión sin evaluar ), Post-print (versión editorial), Post-print (versión corregida del autor)
288|AquaTIC|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
289|Acción Psicológica|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
290|Revista de Investigaciones Agropecuarias -RIA-|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
292|Sexualidad, Salud y Sociedad - Revista Latinoamericana|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión corregida del autor)
293|Onomázein|Verde|Atribución-Sin Derivadas - CC BY-ND|Gratuito|Sí|Pre-print (versión sin evaluar ), Post-print (versión editorial), Post-print (versión corregida del autor)
294|Psicologia Clínica|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
295|Ingeniería Revista Académica de la Facultad de Ingeniería Universidad Autónoma de Yucatán|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
296|Trabajo y Sociedad|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión corregida del autor)
297|Revista Mexicana de Ingeniería Química|Blanca|Ninguna|Gratuito|No|Desconocido
298|Jornal de Pediatria|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
299|Revista Mexicana de Astronomía y Astrofísica|Blanca|Ninguna|Gratuito|No|Desconocido
301|Regae - Revista de Gestão e Avaliação Educacional|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión corregida del autor)
302|Revista Mexicana de Ciencias Pecuarias|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
303|Archivos Venezolanos de Farmacología y Terapéutica|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
304|Ciência Rural|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
305|Revista Argentina de Ciencias del Comportamiento|Blanca|Ninguna|Gratuito|No|Desconocido
306|Revista de El Colegio de San Luis|Azul|Atribución-Compartir Igual - CC BY-SA|Gratuito online - suscripción versión impresa|Sí|Desconocido
308|Revista Clínica de Medicina de Familia|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
309|Stomatos|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial), Post-print (versión corregida del autor)
310|Revista Iberoamericana de Diagnóstico y Evaluación - e Avaliação Psicológica|Blanca|Ninguna|Gratuito|No|Desconocido
312|REVISTA PSICOLOGIA: CIÊNCIA E PROFISSÃO|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
314|Revista "Panorama. Cuba y Salud"|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
315|Tecnología Química|Azul|Atribución-No Comercial - CC BY-NC|Gratuito online - suscripción versión impresa|Sí|Desconocido
316|Revista chilena de investigaciones estéticas, Aisthesis|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
317|Revista electrónica de investigación educativa|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
318|Revista Interamericana de Educación de Adultos|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial), Post-print (versión corregida del autor)
319|INSUFICIENCIA CARDIACA|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
320|QUÓRUM ACADÉMICO|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión corregida del autor)
321|Ecosistemas y Recursos Agropecuarios|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
322|Revista Mediterránea de Comunicación / Mediterranean Journal of Communication|Azul|Atribución-Compartir Igual - CC BY-SA|Gratuito|Sí|Post-print (versión editorial)
323|European Research on Management and Business Economics |Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Pre-print (versión sin evaluar )
324|Education in the Knowledge Society|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
326|Tempo|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
327|INTERIN - Revista do Programa de Pós-Graduação em Comunicação e Linguagens/UTP|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión corregida del autor)
328|Revista de Biologia Marina y Oceanografía|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
329|RICSH REVISTA IBEROAMERICANA DE LAS CIENCIAS SOCIALES Y HUMANÍSTICAS|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
330|Archivos Venezolanos de Farmacología y Terapéutica|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
331|Semina: Ciências Agrárias|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial), Post-print (versión corregida del autor)
333|Alteridades|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
334|Alea. Estudos Neolatinos|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
335|Revista Brasileira de Ciências Agrárias - Brazilian Journal of Agricultural Sciences|Blanca|Ninguna|Gratuito|No|Desconocido
336|International Journal of Clinical and Health Psychology|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
337|Revista Prisma Social|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
338|Bragantia|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
339|Revista de Inovação e Sustentabilidade|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
340|Revista Mexicana de Ciencias Agrícolas|Azul|Atribución-No Comercial - CC BY-NC|Gratuito online - suscripción versión impresa|Sí|Post-print (versión editorial)
341|Teoría y Praxis|Blanca|Ninguna|Gratuito|No|Desconocido
342|Revista Argentina de Cardiología|Azul|Atribución-Compartir Igual - CC BY-SA|Gratuito|Sí|Desconocido
343|ModaPalavra e-periódico|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
344|Revista Brasileira em Promoção da Saúde|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión corregida del autor)
345|TecnoLógicas|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
346|Anuario de Historia de la Iglesia|Azul|Atribución-Sin Derivadas - CC BY-ND|Gratuito despues de un embargo|Sí|Post-print (versión editorial)
347|e-balonmano.com: Revista de Ciencias del Deporte|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
348|Latin American Journal of Sedimentology and Basin Analysis|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial), Post-print (versión corregida del autor)
349|Ánfora|Azul|Atribución-Compartir Igual - CC BY-SA|Gratuito|Sí|Post-print (versión editorial)
350|Cuadernos Inter.c.a.mbio sobre Centroamérica y el Caribe|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
351|Ecología Aplicada|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
352|PESQUISA BRASILEIRA EM ODONTOPEDIATRIA E CLINICA INTEGRADA|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
353|Revista História da Educação - ASPHE|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
354|Revista Portuguesa de Estudos Regionais|Blanca|Ninguna|Gratuito online - suscripción versión impresa|No|Desconocido
355|Educación XX1|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
357|Perspectivas|Azul|Ninguna|Gratuito online - suscripción versión impresa|Sí|Post-print (versión corregida del autor)
358|Revista de Filosofía Diánoia|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito online - suscripción versión impresa|Sí|Desconocido
359|Revista Latina de Comunicación Social|Azul|Atribución-Sin Derivadas - CC BY-ND|Gratuito|Sí|Post-print (versión editorial), Post-print (versión corregida del autor)
360|Biomédica: revista del Instituto Nacional de Salud|Blanca|Ninguna|Gratuito|No|Desconocido
361|Horizonte Médico (Lima)|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
362|Educação (UFSM)|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial), Post-print (versión corregida del autor)
363|RUNA, archivo para las ciencias del hombre|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial), Post-print (versión corregida del autor)
364|Frontera Norte |Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito online - suscripción versión impresa|Sí|Desconocido
365|Profesorado.Revista de Currículum y Formación del Profesorado|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
366|Historia Social y de la Educación|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
367|Revista Archivo Médico de Camagüey|Verde|Atribución - CC BY|Gratuito|Sí|Pre-print (versión sin evaluar ), Post-print (versión editorial), Post-print (versión corregida del autor)
368|Revista Colombiana de Estadística|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
369|Acta Gastroenterológica Latinoamericana|Blanca|Ninguna|Gratuito|No|Desconocido
370|INTERNATIONAL JOURNAL OF PSYCHOLOGY & PSYCHOLOGICAL THERAPY|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito online - suscripción versión impresa|Sí|Post-print (versión editorial)
371|Cinta de Moebio. Revista de Epistemología de Ciencias Sociales|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
372| Psicología, Conocimiento y Sociedad|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
373|Revista Brasileira de Ciências Sociais|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
375|Revista Geográfica Venezolana|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
376|Independent Journal of Management & production|Verde|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Pre-print (versión sin evaluar ), Post-print (versión editorial), Post-print (versión corregida del autor)
377|Palabra Clave. Revista de Comunicación|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
378|Gestión y Análisis de Políticas Públicas|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
379|Hipogrifo. Revista de literatura y cultura del Siglo de Oro|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
380|Revista de Paz y Conflictos|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial), Post-print (versión corregida del autor)
381|Eclética Química Journal|Azul|Atribución - CC BY|Gratuito|Sí|Post-publicación.
383|Trashumante. Revista Americana de Historia Social|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
385|Sapienza Organizacional|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
386|REVISTA VISIÓN GERENCIAL |Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
388|Electronic Journal of Research in Educational Psychology|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
389|MHSalud: Revista en Ciencias del Movimiento Humano y Salud |Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
390|Telos: Revista de Estudios Interdisciplinarios en Ciencias Sociales|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
391|Procesamiento del Lenguaje Natural|Blanca|Ninguna|Gratuito|No|Desconocido
392|Boletín de arte|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
393|Educação em Revista - UFMG|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
397|Paradoxos|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
398|Revista Ciencias Holguin|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
399|Aquichan|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
400|Antípoda. Revista de Antropología y Arqueología|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
401|Geologica Acta|Azul|Atribución-Compartir Igual - CC BY-SA|Gratuito online - suscripción versión impresa|Sí|Versión de publicación
402|COMUNI@CCION: Revista de investigación en comunicación y desarrollo |Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
404|Estudos de Psicologia|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
405|Revista Latino-Americana de Enfermagem|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión corregida del autor)
406|Revista Ciencias Técnicas Agropecuarias|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
407|Educação Unisinos|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
408|Información, cultura y sociedad|Azul|Atribución-Compartir Igual - CC BY-SA|Gratuito online - suscripción versión impresa|Sí|Post-print (versión editorial)
410|Revista Mexicana de Sociologìa|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
411|Revista Mexicana de Opinión Pública|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
412|Enfermería Universitaria|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito online - suscripción versión impresa|Sí|Post-print (versión editorial)
413|Reflexiones|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
414|Revista de Administração FACES Journal|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
415|Revista Brasileira de Gestão e Inovação (Brazilian Journal of Management & Innovation)|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
418|Escritos de Psicología - Psychological Writings|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
419|Revista Enfoque: Reflexão Contábil|Azul|Atribución - CC BY|Gratuito|Sí|Pre-print (versión sin evaluar )
420|Investigación y Ciencia de la Universidad Autónoma de Aguascalientes|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
421|Revista Facultad Nacional de Salud Pública|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Versión final publicada
422|Historia|Blanca|Ninguna|Gratuito online - suscripción versión impresa|No|Desconocido
424|RELIEVE - Revista Electrónica de Investigación y Evaluación Educativa|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial), Post-print (versión corregida del autor)
425|Agronomia Costarricense|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito online - suscripción versión impresa|Sí|Post-print (versión editorial)
426|Revista de Investigación y Cultura UCV HACER|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
427|Revista Brasileira de Ciências do Esporte|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
428|Textos & Contextos (Porto Alegre)|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
429|Revista Brasileira de Política Internacional|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
430|ICIDCA sobre los derivados de la caña de azúcar|Blanca|Ninguna|Gratuito|No|Desconocido
431|Cuadernos Geográficos de la Universidad de Granada|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Versión publicada
432|revista Ciencia e Ingeniería|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial), Post-print (versión corregida del autor)
433|SOCIEDADE E ESTADO|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
434|Motricidade|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
435|Medicina UPB|Verde|Atribución - CC BY|Gratuito|Sí|Pre-print (versión sin evaluar ), Post-print (versión editorial), Post-print (versión corregida del autor)
436|Escola Anna Nery Revista de Enfermagem|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
437|PSICOGENTE|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión corregida del autor)
438|Revista Direito e Práxis|Azul|Atribución-Compartir Igual - CC BY-SA|Gratuito|Sí|Post-print (versión corregida del autor)
439|Liberabit. Revista Peruana de Psicología|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|published version
440|Íconos, Revista de Ciencias Sociales|Azul|Atribución-Sin Derivadas - CC BY-ND|Gratuito online - suscripción versión impresa|Sí|Desconocido
441|Therya|Verde|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Pre-print (versión sin evaluar ), Post-print (versión editorial), Post-print (versión corregida del autor)
443|Praxis educativa|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
445|ATENAS. Revista Científico Pedagógica|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión corregida del autor)
446|Revista Cubana de Química|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
447|Revista Facultad de Ingeniería, Universidad de Antioquia |Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito online - suscripción versión impresa|Sí|Post-print (versión editorial)
448|Cuicuilco Revista de Ciencias Antropológicas|Blanca|Ninguna|Gratuito|No|Desconocido
449|ENTRAMADO|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
450|methaodos.revista de ciencias sociales|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión corregida del autor)
451|Revista Médica del Instituto Mexicano del Seguro Social|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Desconocido
452|TURISMO: VISÃO E AÇÃO|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
453|Ciências Sociais Unisinos|Azul|Atribución - CC BY|Gratuito|Sí|Desconocido
454|Revista de Investigaciones Políticas y Sociológicas|Blanca|Ninguna|Gratuito|No|Desconocido
455|Población & Sociedad. Revista de Estudios Sociales|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión corregida del autor)
456|REVISTA DE LA ASOCIACIÓN ESPAÑOLA DE NEUROPSIQUIATRÍA|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito online - suscripción versión impresa|Sí|Desconocido
457|Revista Finanzas y Política Económica|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Desconocido
458|Revista Científica General José María Córdova|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
459|Revista de Administração da Universidade Federal de Santa Maria|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Desconocido
